Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,Coordinates
Aaron Riley,10,3.45,34,3.78,61,1.18,34,60,0.1,"(10, 10)"
Aaron Rosa,5,4.03,47,4.41,45,0.36,33,85,0.4,"(6, 9)"
Aaron Simpson,12,3.6,52,2.53,56,3.78,34,83,0.5,"(7, 10)"
Abdul Razak Alhassan,5,4.59,46,4.2,59,0.57,33,53,0.0,"(10, 10)"
Abel Trujillo,11,2.65,41,2.31,59,2.18,45,40,0.4,"(8, 12)"
Abongo Humphrey,4,1.45,40,3.83,46,1.41,37,33,3.3,"(4, 11)"
Adam Milstead,4,3.85,46,4.79,43,0.0,0,64,0.0,"(8, 9)"
Adlan Amagov,6,3.29,47,0.82,78,5.84,56,100,0.0,"(5, 9)"
Adriano Martins,9,1.8,38,2.14,65,0.83,80,81,0.4,"(7, 12)"
Akbarh Arreola,4,2.32,45,4.01,56,1.07,100,33,0.4,"(6, 12)"
Akihiro Gono,13,2.18,48,2.67,63,1.01,84,46,0.5,"(7, 12)"
Akira Corassani,6,3.25,45,4.91,50,0.7,28,86,0.0,"(6, 9)"
Akira Shoji,23,1.03,34,2.63,53,1.79,73,82,0.4,"(6, 10)"
Akiyo Nishiura,4,1.59,57,1.26,57,0.0,0,52,0.3,"(7, 8)"
Al Iaquinta,14,4.06,40,4.44,61,0.64,18,74,0.2,"(8, 9)"
Alan Belcher,15,2.7,41,3.1,59,0.44,26,55,0.9,"(8, 10)"
Alan Jouban,12,4.85,50,3.34,61,0.59,50,62,0.0,"(8, 11)"
Alan Patrick,8,1.88,43,2.39,45,3.92,40,66,0.4,"(7, 9)"
Albert Morales,6,3.81,35,3.96,56,0.91,35,70,0.2,"(6, 9)"
Albert Tumenov,8,3.76,42,3.34,58,0.2,20,75,0.0,"(8, 9)"
Alberto Mina,4,3.23,38,3.7,47,1.85,20,50,0.0,"(8, 8)"
Alejandro Perez,11,3.52,35,2.94,64,0.52,20,73,0.1,"(6, 9)"
Aleksandar Rakic,5,5.17,52,2.41,53,1.2,28,88,0.3,"(9, 9)"
Aleksander Emelianenko,9,2.75,41,1.7,65,2.32,72,66,0.9,"(7, 12)"
Aleksei Kunchenko,4,3.67,44,2.83,63,0.25,33,80,0.0,"(6, 9)"
Aleksei Oleinik,12,3.08,50,3.25,49,3.01,46,20,2.8,"(9, 11)"
