Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Tom Aaron,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Abbadi,2.0,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0
David Abbott,21.0,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0
Shamil Abdurakhimov,8.0,2.45,44.0,2.45,58.0,1.23,24.0,47.0,0.2
Hiroyuki Abe,2.0,1.71,36.0,3.11,63.0,0.0,0.0,33.0,0.0
Daichi Abe,3.0,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0
Papy Abedi,4.0,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3
Ricardo Abreu,2.0,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7
Klidson Abreu,4.0,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0
Daniel Acacio,4.0,3.52,36.0,2.85,62.0,0.33,20.0,81.0,0.0
Scott Adams,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,5.0,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0
Anthony Adams,2.0,3.17,41.0,5.93,44.0,0.0,0.0,0.0,0.0
Zarrukh Adashev,2.0,1.93,23.0,3.35,60.0,0.0,0.0,0.0,0.0
Israel Adesanya,11.0,3.95,49.0,2.63,61.0,0.0,0.0,82.0,0.3
Sam Adkins,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Agallar,1.0,0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0
Mariya Agapova,3.0,3.7,50.0,4.15,47.0,1.23,66.0,33.0,0.6
Marcelo Aguiar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwin Aguilar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica Aguilar,5.0,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2
Kevin Aguilar,7.0,3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0
Christian Aguilera,3.0,2.54,37.0,4.04,48.0,0.0,0.0,60.0,0.0
Mike Aina,2.0,2.87,33.0,6.33,59.0,0.0,0.0,71.0,0.0
Hitomi Akano,4.0,0.59,45.0,2.58,55.0,0.0,0.0,8.0,0.5
Omari Akhmedov,14.0,2.95,35.0,2.59,57.0,2.63,49.0,65.0,0.3
Yoshihiro Akiyama,22.0,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0
Rostem Akman,2.0,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0
Razak Al-Hassan,2.0,3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0
Mostapha Al-Turk,3.0,1.36,19.0,3.61,53.0,0.0,0.0,0.0,0.0
Herdem Alacabek,1.0,3.84,65.0,6.66,23.0,2.06,50.0,42.0,0.0
Javi Alanis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heili Alateng,3.0,2.87,32.0,5.82,57.0,2.33,35.0,100.0,0.0
Amir Albazi,2.0,4.06,40.0,3.15,58.0,2.28,75.0,66.0,0.8
Brett Albee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Albert,5.0,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1
Junior Albini,5.0,3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0
Wes Albritton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandra Albu,4.0,4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4
Israel Albuquerque,1.0,0.32,13.0,3.34,25.0,0.0,0.0,0.0,0.0
Juan Alcain,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iuri Alcantara,19.0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8
Ildemar Alcantara,7.0,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9
Alfonso Alcarez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Aldana,2.0,2.91,54.0,6.26,26.0,2.57,40.0,33.0,0.0
Irene Aldana,9.0,5.52,38.0,5.97,61.0,0.23,50.0,84.0,0.1
Hector Aldana,3.0,3.59,38.0,5.08,59.0,0.93,100.0,0.0,0.0
Jose Aldo,25.0,3.45,45.0,3.52,61.0,0.57,56.0,91.0,0.1
JJ Aldrich,8.0,3.76,41.0,4.55,61.0,0.8,40.0,57.0,0.0
Jim Alers,4.0,2.9,40.0,4.38,56.0,2.26,41.0,80.0,0.3
John Alessio,13.0,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2
Houston Alexander,6.0,3.06,54.0,3.2,52.0,1.19,57.0,33.0,0.0
Kenneth Alexander,2.0,0.88,19.0,2.2,66.0,4.71,26.0,0.0,0.0
Marcio Alexandre Junior,4.0,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7
Olaf Alfonso,4.0,1.65,38.0,4.77,53.0,0.37,7.0,22.0,0.7
Pablo Alfonso,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levi Alford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Algeo,4.0,6.37,53.0,4.87,40.0,0.5,28.0,55.0,0.0
Royce Alger,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Aliakbari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sultan Aliev,4.0,1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0
John Allan,3.0,2.95,43.0,4.01,52.0,1.94,71.0,50.0,1.2
George Allen,1.0,0.8,38.0,3.1,43.0,0.0,0.0,50.0,0.0
Arnold Allen,8.0,2.96,40.0,2.15,66.0,1.44,50.0,76.0,0.4
Brendan Allen,6.0,3.35,58.0,4.19,39.0,1.73,50.0,50.0,2.1
Ben Alloway,3.0,1.28,49.0,1.9,59.0,0.62,50.0,26.0,0.0
Ricardo Almeida,13.0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2
Magno Almeida,2.0,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0
Thomas Almeida,10.0,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0
Ericka Almeida,2.0,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0
Estefani Almeida,1.0,3.13,37.0,6.07,42.0,0.0,0.0,0.0,0.0
