Fighter Name,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Aaron Riley,3.45,34,3.78,61,1.18,34,60,0.1,6, 2
Aaron Rosa,4.03,47,4.41,45,0.36,33,85,0.4,8, 2
Aaron Simpson,3.6,52,2.53,56,3.78,34,83,0.5,0, 8
Abdul Razak Alhassan,4.59,46,4.2,59,0.57,33,53,0.0,6, 2
Abel Trujillo,2.65,41,2.31,59,2.18,45,40,0.4,0, 5
Abongo Humphrey,1.45,40,3.83,46,1.41,37,33,3.3,1, 2
Adam Milstead,3.85,46,4.79,43,0.0,0,64,0.0,6, 0
Adlan Amagov,3.29,47,0.82,78,5.84,56,100,0.0,0, 8
Adriano Martins,1.8,38,2.14,65,0.83,80,81,0.4,5, 8
Akbarh Arreola,2.32,45,4.01,56,1.07,100,33,0.4,8, 8
Akihiro Gono,2.18,48,2.67,63,1.01,84,46,0.5,7, 8
Akira Corassani,3.25,45,4.91,50,0.7,28,86,0.0,8, 1
Akira Shoji,1.03,34,2.63,53,1.79,73,82,0.4,4, 8
Akiyo Nishiura,1.59,57,1.26,57,0.0,0,52,0.3,4, 0
Al Iaquinta,4.06,40,4.44,61,0.64,18,74,0.2,8, 0
Alan Belcher,2.7,41,3.1,59,0.44,26,55,0.9,4, 1
Alan Jouban,4.85,50,3.34,61,0.59,50,62,0.0,8, 5
Alan Patrick,1.88,43,2.39,45,3.92,40,66,0.4,0, 7
Albert Morales,3.81,35,3.96,56,0.91,35,70,0.2,8, 2
Albert Tumenov,3.76,42,3.34,58,0.2,20,75,0.0,8, 0
Alberto Mina,3.23,38,3.7,47,1.85,20,50,0.0,4, 1
Alejandro Perez,3.52,35,2.94,64,0.52,20,73,0.1,8, 0
Aleksandar Rakic,5.17,52,2.41,53,1.2,28,88,0.3,8, 3
Aleksander Emelianenko,2.75,41,1.7,65,2.32,72,66,0.9,6, 8
Aleksei Kunchenko,3.67,44,2.83,63,0.25,33,80,0.0,8, 2
Aleksei Oleinik,3.08,50,3.25,49,3.01,46,20,2.8,0, 4
Alessio Di Chirico,3.2,42,3.22,62,1.95,50,83,0.0,7, 5
Alessio Sakara,3.96,47,2.8,59,2.18,78,62,0.0,8, 8
Alex Caceres,3.98,48,2.86,64,0.53,75,58,0.8,8, 8
Alex Chambers,2.97,54,5.1,50,2.31,41,53,1.0,5, 3
Alex Garcia,1.81,31,3.03,59,3.72,52,66,0.1,0, 6
Alex Karalexis,2.57,42,2.39,54,2.7,45,86,0.9,1, 8
Alex Morono,4.42,39,3.1,61,0.0,0,35,0.6,4, 0
Alex Nicholson,4.12,43,4.65,47,0.0,0,50,0.5,5, 0
Alex Oliveira,2.88,50,2.18,47,2.69,37,58,0.6,0, 6
Alex Perez,4.48,47,2.99,62,3.27,50,87,1.5,0, 8
Alex Serdyukov,4.94,48,3.1,46,1.84,55,67,1.8,8, 5
Alex Stiebling,1.77,42,1.45,52,0.35,66,66,0.7,5, 8
Alex White,3.76,42,3.07,60,0.92,28,71,0.5,7, 2
Alexa Grasso,5.25,41,3.61,63,0.19,33,63,0.6,8, 2
Alexander Gustafsson,4.02,40,3.44,51,1.56,39,85,0.4,8, 3
Alexander Hernandez,3.07,41,3.25,50,1.52,30,57,0.0,5, 2
Alexander Otsuka,0.9,55,1.16,51,1.51,43,53,0.8,2, 6
Alexander Volkanovski,6.15,57,3.14,59,2.16,34,72,0.4,8, 4
Alexander Volkov,5.36,60,2.48,58,0.75,75,76,0.2,8, 7
Alexander Yakovlev,1.79,47,2.44,58,1.56,33,72,0.2,4, 6
Alexandra Albu,4.83,47,5.56,38,2.27,50,77,0.4,8, 4
Alexandre Pantoja,4.58,47,3.53,56,1.1,35,60,1.3,7, 3
Alexis Davis,4.27,46,4.18,55,0.74,33,32,0.8,4, 1
Ali Bagautinov,2.85,42,3.09,52,2.51,36,65,0.3,5, 4
Alistair Overeem,3.54,62,2.15,59,1.39,53,73,0.9,8, 6
Aljamain Sterling,4.85,50,1.95,66,1.91,29,51,0.8,6, 3
Allan Goes,0.64,52,1.35,41,1.75,40,0,2.6,0, 0
Alptekin Ozkilic,3.81,32,5.72,59,4.21,58,75,0.0,0, 8
Alvaro Herrera,1.89,38,3.4,55,0.0,0,33,1.1,2, 0
Alvin Cacdac,1.21,66,0.61,0,0.0,0,0,0.0,0, 0
Alvin Robinson,1.57,50,1.29,51,1.24,50,25,1.2,0, 2
Amanda Cooper,3.55,44,3.2,51,1.53,38,28,1.8,2, 2
Amanda Nunes,4.34,49,2.63,55,2.33,47,80,0.7,8, 5
